,track_name,artist,id,acousticness,danceability,speechiness,instrumentalness,liveness,energy,valence,duration_ms,key,mode,loudness,tempo,time_signature
0,Where The Money Is,NEEDTOBREATHE,7bxECEwQOcLXKIMKGojort,0.00257,0.613,0.0415,0.000163,0.109,0.883,0.696,202960.0,8.0,1.0,-1.757,123.896,4.0
1,Soul On Fire (feat. All Sons & Daughters),Third Day,73ZSUS3WLluxgASR1Hp74B,0.218,0.501,0.0545,2.39e-05,0.157,0.876,0.228,197707.0,1.0,1.0,-6.324,103.974,4.0
2,My Lighthouse,Rend Collective,5AcdaSVQfLcUKMaqchfBie,0.0326,0.545,0.0491,0.0,0.781,0.805,0.727,224169.0,0.0,1.0,-5.792,110.008,4.0
3,That's My Deliverer,Daniel Doss Band,5dhW6ttBD2HsYCb8ib0Ghs,0.000974,0.394,0.0756,0.0,0.126,0.881,0.347,211040.0,4.0,1.0,-5.656,125.111,4.0
4,Blessed Is The One,Daniel Doss Band,3LDM47jRsgIs9Ld8r5vLRo,0.000233,0.578,0.0279,2.4e-06,0.316,0.776,0.42,306333.0,2.0,1.0,-5.469,119.992,4.0
5,Sing And Shout - Live,Matt Redman,2IPgx0O8G8fMLuHak1fzNg,0.0131,0.541,0.0539,0.0,0.968,0.95,0.589,261013.0,9.0,1.0,-4.798,100.516,4.0
6,Mercy and Grace (feat. Timothy Brindle),Timothy Brindle,53i9QgdZ2X0DdvqDOvt7r4,0.188,0.645,0.283,0.0,0.329,0.935,0.739,260307.0,10.0,0.0,-3.984,90.875,4.0
7,For My Good,Trip Lee,3vNmLhT5g7ksVVZYcfpxJg,0.143,0.75,0.0513,0.0,0.105,0.76,0.697,271773.0,10.0,0.0,-5.177,126.992,4.0
8,The Invasion (Hero) [feat. Jai],Trip Lee,1Sp0f7YWMQVNd2bnUzfNn1,0.398,0.555,0.319,0.0,0.418,0.862,0.348,336920.0,4.0,1.0,-5.804,145.862,4.0
9,God Is Enough (feat. Flame),Lecrae,3KZcvcCLWRk3dXACe76C7J,0.00328,0.743,0.163,0.0,0.138,0.703,0.592,235653.0,11.0,0.0,-6.334,74.504,4.0
10,Tell the World (feat. Mali Music),Lecrae,,,,,,,,,,,,,,
