Unnamed: 0,Album_Name,track_name,id,Artist,acousticness,danceability,speechiness,instrumentalness,liveness,energy,valence,duration_ms,key,mode,loudness,tempo,time_signature
0,Everyday Life,Sunrise,6Tb7Zfo4PcSiS4TqQ4NnTh,Coldplay,0.9390000000000001,0.161,0.0389,0.54,0.0773,0.21600000000000003,0.034,151093.0,9.0,1.0,-12.302,83.85700000000001,4.0
1,Everyday Life,Church,1e8D1BCD2afT56Km7UahpB,Coldplay,0.00865,0.44799999999999995,0.0366,0.145,0.147,0.736,0.133,230013.0,11.0,0.0,-6.98,123.956,4.0
2,Everyday Life,Trouble In Town,45PqOIkZ9PdCjsCJQYzx9G,Coldplay,0.426,0.374,0.0318,0.6509999999999999,0.111,0.316,0.326,278907.0,10.0,1.0,-11.456,95.103,4.0
3,Everyday Life,BrokEn,1cXXhzPnbrXjNQYbLdUJdy,Coldplay,0.9229999999999999,0.55,0.0495,0.0,0.147,0.271,0.521,150200.0,5.0,1.0,-11.835999999999999,130.155,4.0
4,Everyday Life,Daddy,3pcPPhPAiurm2Ior11SHrz,Coldplay,0.9309999999999999,0.636,0.0338,0.8009999999999999,0.513,0.18,0.20199999999999999,298320.0,1.0,1.0,-19.54,116.945,4.0
5,Everyday Life,WOTW / POTP,7jib2tJjQ82kTIZZATMvAK,Coldplay,0.935,0.6920000000000001,0.248,0.929,0.11599999999999999,0.294,0.802,76933.0,10.0,1.0,-15.482999999999999,133.686,4.0
6,Everyday Life,Arabesque,0ZlVUhjO8c0bOx1D2Btznf,Coldplay,0.000117,0.4,0.0549,0.846,0.373,0.835,0.16699999999999998,340280.0,7.0,1.0,-7.728,172.007,4.0
7,Everyday Life,When I Need A Friend,0UvUivL70eDwhTWBd8S38I,Coldplay,0.9209999999999999,0.22399999999999998,0.049,0.36,0.135,0.28,0.447,155000.0,1.0,1.0,-18.225,87.87100000000001,3.0
8,Everyday Life,Guns,6VzRvCbolqcUswaSPm48rI,Coldplay,0.779,0.47600000000000003,0.0326,0.209,0.138,0.562,0.703,115080.0,10.0,1.0,-8.333,85.25200000000001,3.0
9,Everyday Life,Orphans,03T4ttRCiLXST6MZjeMwmR,Coldplay,0.0254,0.503,0.045,0.00162,0.557,0.8079999999999999,0.28300000000000003,197533.0,11.0,0.0,-5.051,107.975,4.0
10,Everyday Life,Èkó,2HUtNS9qtfgWbnaagK6AAe,Coldplay,0.725,0.341,0.0322,0.0019399999999999999,0.184,0.365,0.0486,157867.0,7.0,1.0,-13.870999999999999,183.00400000000002,3.0
11,Everyday Life,Cry Cry Cry,4Kwhm5VU4huxmQtBqd1AXo,Coldplay,0.8909999999999999,0.491,0.0568,0.273,0.207,0.261,0.355,167280.0,8.0,1.0,-10.464,204.518,3.0
12,Everyday Life,Old Friends,3E3zYgQul8EaJioNvD2tv9,Coldplay,0.943,0.47700000000000004,0.0346,0.242,0.138,0.18,0.23600000000000002,146947.0,5.0,1.0,-17.499000000000002,134.049,5.0
13,Everyday Life,بنی آدم,6DGzLNiawTtntC9NHzeMeY,Coldplay,0.757,0.39299999999999996,0.0497,0.764,0.161,0.301,0.0384,194667.0,7.0,1.0,-20.429000000000002,140.438,3.0
14,Everyday Life,Champion Of The World,6mf7BNgXs8JipPr2QILnyN,Coldplay,0.0028,0.503,0.0263,0.0112,0.109,0.596,0.16699999999999998,257547.0,7.0,1.0,-7.093999999999999,108.897,4.0
15,Everyday Life,Everyday Life,0h9fnCSnbUgOEgibnQByFv,Coldplay,0.7709999999999999,0.512,0.0291,0.0914,0.065,0.45299999999999996,0.23600000000000002,258533.0,2.0,1.0,-8.991,124.05,4.0
0,Melly vs. Melvin,Two Face,5Jd3mfA4OCkaqgzRxa1CIl,YNW Melly,0.0221,0.825,0.149,1.57e-05,0.162,0.506,0.265,238656.0,10.0,1.0,-6.684,145.939,4.0
1,Melly vs. Melvin,Suicidal,1iSqfoUFnQwV0QW1EfUit8,YNW Melly,0.33399999999999996,0.736,0.0688,0.0,0.126,0.369,0.235,222997.0,9.0,0.0,-9.682,140.005,4.0
2,Melly vs. Melvin,Adam Sandler,5icdOB2Rd7bE0YZ1fAQx1P,YNW Melly,0.31,0.82,0.247,0.0,0.223,0.495,0.675,161119.0,3.0,1.0,-7.968,142.959,4.0
3,Melly vs. Melvin,Bang Bang,66FltlEV09mPJYAyfYm8De,YNW Melly,0.156,0.657,0.397,0.0,0.0811,0.522,0.442,260333.0,10.0,1.0,-7.632000000000001,179.687,4.0
4,Melly vs. Melvin,Billboard,2biaamy4vq0hrDpYCHAYjb,YNW Melly,0.14,0.871,0.35100000000000003,0.0,0.0584,0.40700000000000003,0.623,165405.0,8.0,1.0,-11.775,148.023,4.0
5,Melly vs. Melvin,I Ain't Lying,40QmDP485PDepnUOGJlbUP,YNW Melly,0.0404,0.782,0.27699999999999997,0.0,0.22699999999999998,0.415,0.762,195200.0,0.0,1.0,-10.027999999999999,150.156,4.0
6,Melly vs. Melvin,I'm A Star,0XE59c5RaVj7FuoLYqIOWW,YNW Melly,0.0375,0.83,0.0346,0.0,0.136,0.632,0.316,192000.0,7.0,0.0,-6.691,140.012,4.0
7,Melly vs. Melvin,My Slime,7zg21FcHyzgMMo6OlXjtBC,YNW Melly,0.5589999999999999,0.6729999999999999,0.207,3.06e-06,0.184,0.607,0.534,146152.0,8.0,1.0,-8.967,158.049,4.0
8,Melly vs. Melvin,100k,1yZDkDwpNRk3iQ6YTKEsPH,YNW Melly,0.25,0.8059999999999999,0.0742,5.93e-05,0.0491,0.71,0.606,173140.0,1.0,1.0,-6.284,103.92299999999999,4.0
9,Melly vs. Melvin,Nobody's Around,0Y42Np66Dz33VKgxIcUgOx,YNW Melly,0.1,0.7070000000000001,0.0438,1.53e-06,0.284,0.48200000000000004,0.154,178000.0,4.0,0.0,-6.195,153.99200000000002,4.0
10,Melly vs. Melvin,Killuminati (feat. Foreign Teck),4jrQ6PZoSYblXYlgXFkUYk,YNW Melly,0.303,0.602,0.375,0.0,0.41100000000000003,0.528,0.621,159451.0,6.0,0.0,-7.0729999999999995,172.141,4.0
11,Melly vs. Melvin,Stay Up,2yvX9pGZNtPVDIUSNY0jML,YNW Melly,0.0177,0.371,0.0534,9.95e-06,0.659,0.561,0.225,252343.0,2.0,1.0,-9.133,136.457,4.0
12,Melly vs. Melvin,Waitin On You (feat. Tonk Wit Tha Gift),7cUJXV41jwfkiDP8S7nNk1,YNW Melly,0.0794,0.7140000000000001,0.0963,0.0,0.09300000000000001,0.526,0.589,281728.0,2.0,1.0,-9.652999999999999,89.06299999999999,4.0
13,Melly vs. Melvin,223's (feat. 9lokknine),29ZXwWOOLz9t5fa3eT3i7T,YNW Melly,0.0388,0.932,0.33299999999999996,0.0,0.0924,0.547,0.695,176640.0,0.0,0.0,-7.787000000000001,94.99799999999999,4.0
0,Más Futuro Que Pasado,Aurora,6THxHFEYGPUUPxBgF2Fi7g,Juanes,0.0569,0.745,0.094,0.0022,0.0631,0.8029999999999999,0.816,185253.0,1.0,1.0,-4.2669999999999995,93.988,4.0
1,Más Futuro Que Pasado,Tequila,02lGHA7bFFplYLihnUWTx8,Juanes,0.226,0.757,0.11199999999999999,0.0,0.237,0.688,0.7040000000000001,159547.0,9.0,1.0,-4.546,155.994,4.0
2,Más Futuro Que Pasado,Ninguna,5kozW4y6YWoaw7CjYC2oXH,Juanes,0.14300000000000002,0.773,0.11,2.56e-05,0.245,0.7120000000000001,0.946,163920.0,2.0,1.0,-4.493,163.929,4.0
3,Más Futuro Que Pasado,Mala Manera,3KdVK0rnAKhtzhhrKQi908,Juanes,0.41,0.672,0.47,0.0,0.337,0.718,0.5479999999999999,185227.0,4.0,0.0,-4.633,188.018,4.0
4,Más Futuro Que Pasado,Bonita,3ewwb5s3WHYqEdkBnwKlTS,Juanes,0.258,0.7490000000000001,0.0476,0.0,0.21899999999999997,0.8859999999999999,0.963,147787.0,0.0,1.0,-2.58,157.94799999999998,4.0
5,Más Futuro Que Pasado,El Pueblo,2fRJ1x3PGFduyKlan2BDEP,Juanes,0.136,0.7929999999999999,0.134,0.0,0.099,0.705,0.727,159440.0,11.0,0.0,-4.239,89.99799999999999,4.0
6,Más Futuro Que Pasado,Más Futuro Que Pasado,6W8XmbnLeCFu5NRfU2wPfI,Juanes,0.0373,0.68,0.0775,0.0,0.0381,0.677,0.602,186627.0,7.0,1.0,-4.638,173.767,4.0
7,Más Futuro Que Pasado,Loco,06qp2aPjepeepM7sYg2AVS,Juanes,0.36200000000000004,0.753,0.0682,0.0,0.177,0.885,0.946,196587.0,6.0,1.0,-3.28,153.987,4.0
8,Más Futuro Que Pasado,Mía Mía,60JRPUVZRZ6hkHldiTEx6f,Juanes,0.017,0.823,0.207,0.000148,0.0965,0.711,0.813,208013.0,0.0,1.0,-2.783,81.986,4.0
9,Más Futuro Que Pasado,La Plata,3ohI7OM6ZDLsekgXWaJ4vt,Juanes,0.195,0.758,0.237,0.0,0.31,0.7659999999999999,0.963,195280.0,1.0,0.0,-4.578,167.94400000000002,4.0
10,Más Futuro Que Pasado,Pa Dentro,3I9fYNvAgvJxmzo504tc0Q,Juanes,0.294,0.765,0.11800000000000001,0.00039,0.29600000000000004,0.87,0.7759999999999999,196040.0,9.0,0.0,-3.181,122.527,5.0
11,Más Futuro Que Pasado,Querer Mejor,7HqSPcRCn86vitOZ8Km6NK,Juanes,0.233,0.782,0.10800000000000001,0.0,0.0952,0.698,0.569,173467.0,2.0,1.0,-4.46,82.50200000000001,4.0
12,Más Futuro Que Pasado,Querer Mejor - Spanglish Version,0h44ffuQNJYC9HuDPVJWOU,Juanes,0.24100000000000002,0.7559999999999999,0.154,0.0,0.115,0.7190000000000001,0.551,171093.0,2.0,1.0,-4.4430000000000005,164.986,4.0
0,Something Real (with London On Da Track & Chris Brown),Something Real (with London On Da Track & Chris Brown),4otQJBpb8okSeykALR3eCH,Summer Walker,0.0564,0.685,0.0365,0.0,0.115,0.667,0.643,183138.0,8.0,1.0,-3.8369999999999997,95.51799999999999,4.0
0,9,Tattoos and Tequila,6227mXo8lJlRv0CNNpFakj,Jason Aldean,0.0030399999999999997,0.254,0.057999999999999996,0.0,0.10400000000000001,0.8140000000000001,0.53,190093.0,10.0,0.0,-3.534,176.09599999999998,4.0
1,9,Blame It On You,2CwG4BXIlGmmYLDmDvwMTH,Jason Aldean,0.0957,0.484,0.0308,0.000118,0.107,0.7829999999999999,0.594,215360.0,2.0,1.0,-5.334,137.918,4.0
2,9,Champagne Town,77ZZ0aKE7Wh22k8gqo5olB,Jason Aldean,0.0429,0.42100000000000004,0.0351,0.0,0.115,0.6,0.542,191520.0,4.0,1.0,-4.073,148.105,4.0
3,9,Some Things You Don’t Forget,0Tbds0X7yVxZdzmk9x1lNf,Jason Aldean,0.00229,0.37200000000000005,0.0389,1.86e-05,0.34700000000000003,0.858,0.519,199640.0,7.0,0.0,-4.274,165.94299999999998,4.0
4,9,Got What I Got,4TCc369aRPRubv1m8R1TBG,Jason Aldean,0.621,0.512,0.028999999999999998,1.7199999999999998e-05,0.513,0.58,0.303,178147.0,3.0,0.0,-6.6579999999999995,159.847,3.0
5,9,Keeping It Small Town,7752p1ecAeFcvaL6lEbZF0,Jason Aldean,0.0304,0.56,0.0307,0.0,0.102,0.6829999999999999,0.875,162093.0,7.0,1.0,-4.987,133.063,4.0
6,9,Camouflage Hat,0QBwd6OeiDQXVYx7sEXgnJ,Jason Aldean,0.0266,0.565,0.0286,0.000134,0.0978,0.754,0.672,215013.0,3.0,1.0,-6.266,134.00799999999998,4.0
7,9,Came Here To Drink,6Lj79x42WRIncq7Mt12WIr,Jason Aldean,0.157,0.535,0.0285,5.41e-05,0.122,0.596,0.506,182787.0,4.0,1.0,-8.37,124.053,4.0
8,9,We Back,6UL2RC5J2vMau9KOMKQfJg,Jason Aldean,0.0135,0.433,0.0512,2.01e-06,0.32,0.9279999999999999,0.552,197160.0,4.0,0.0,-5.117,155.938,4.0
9,9,Dirt We Were Raised On,4mHJhT7DRwaiknbV09D8KU,Jason Aldean,0.00355,0.258,0.0599,9.08e-05,0.0764,0.816,0.531,216147.0,11.0,0.0,-5.739,205.05700000000002,4.0
10,9,I Don’t Drink Anymore,1cJosCV1FIYqyMzpbrv9SY,Jason Aldean,0.0208,0.565,0.027999999999999997,2.66e-06,0.10800000000000001,0.67,0.38,182920.0,9.0,1.0,-5.841,121.98299999999999,4.0
11,9,Cowboy Killer,4XDyJJP7cdinMBQgozNZbq,Jason Aldean,0.00601,0.551,0.032,0.0,0.245,0.82,0.581,176000.0,4.0,0.0,-6.229,126.103,4.0
12,9,One For The Road,5Il5NxSYq0nN9pX90GvZ3K,Jason Aldean,0.0373,0.457,0.0295,1.07e-06,0.1,0.685,0.46799999999999997,191120.0,4.0,1.0,-6.337999999999999,145.99200000000002,4.0
13,9,Talk About Georgia,5ALPzPUKl3Np5BrYTFs4Pb,Jason Aldean,0.0232,0.434,0.0649,0.0,0.0464,0.889,0.527,164787.0,2.0,1.0,-4.243,154.088,3.0
14,9,The Same Way,4HoEU1t49bU5JuqaZXQI8v,Jason Aldean,0.0285,0.461,0.0717,0.0,0.355,0.9359999999999999,0.59,201653.0,4.0,0.0,-3.659,148.041,4.0
15,9,She Likes It,0zOBo7rVDK90vzOPSIeom8,Jason Aldean,0.0165,0.419,0.0451,4.3e-05,0.128,0.7929999999999999,0.336,273813.0,7.0,1.0,-3.8560000000000003,137.925,4.0
0,A Good Time,Intro,0H9agEp8BXR4S6DI50rmTU,DaVido,0.601,0.812,0.11699999999999999,0.0,0.061,0.735,0.8079999999999999,203505.0,0.0,0.0,-2.892,96.946,4.0
1,A Good Time,1 Milli,3AKPoi06BFR4vrK7alGjfi,DaVido,0.316,0.654,0.0759,7.54e-05,0.128,0.8540000000000001,0.6970000000000001,163636.0,5.0,1.0,-2.682,109.40100000000001,4.0
2,A Good Time,Check Am,5q1Go2adbGbqjgXxSD0UZS,DaVido,0.377,0.8,0.0856,1.79e-06,0.385,0.74,0.887,194945.0,9.0,0.0,-4.406000000000001,103.08200000000001,4.0
3,A Good Time,Disturbance (feat. Peruzzi),1alvkxYJx3AcVERNyFJRmF,DaVido,0.237,0.865,0.0583,0.0155,0.0893,0.7120000000000001,0.821,219310.0,2.0,1.0,-4.206,116.029,4.0
4,A Good Time,If,0WeN52xa8nBDBfKsaiKJ0i,DaVido,0.397,0.951,0.0612,0.0,0.0686,0.6609999999999999,0.9259999999999999,237714.0,7.0,0.0,-2.678,104.99700000000001,4.0
5,A Good Time,D & G (feat. Summer Walker),0xr7t6jQWzFsZ9XwfcxAu7,DaVido,0.0877,0.525,0.17600000000000002,0.0,0.0774,0.5670000000000001,0.685,172500.0,0.0,0.0,-7.263,96.926,4.0
6,A Good Time,Get to You,3ICvYCODRVnpP3MRp8gfux,DaVido,0.14300000000000002,0.56,0.299,0.0,0.18600000000000003,0.605,0.43799999999999994,226260.0,8.0,1.0,-7.051,76.503,4.0
7,A Good Time,Risky,5CWaYPulpYMRRl1ToR6yO7,DaVido,0.15,0.7140000000000001,0.264,0.0,0.0993,0.7020000000000001,0.74,270316.0,8.0,1.0,-4.544,126.51100000000001,5.0
8,A Good Time,Sweet in the Middle (feat. Wurld,2ylO41DTQwQv1QH1mSP3cH,DaVido,0.33,0.71,0.11,0.0,0.358,0.603,0.434,248727.0,8.0,0.0,-7.234,109.81200000000001,4.0
9,A Good Time,Fall,1hEXElwyPez2z7m5dZ56Mc,DaVido,0.386,0.9279999999999999,0.0568,0.0,0.0564,0.675,0.794,240000.0,5.0,1.0,-3.542,105.95299999999999,4.0
10,A Good Time,Green Light Riddim,32N5JyUQ6SzkapNGe2JOMi,DaVido,0.136,0.685,0.174,1.07e-06,0.28300000000000003,0.843,0.69,172875.0,9.0,0.0,-5.602,103.066,4.0
11,A Good Time,Big Picture (feat. Gunna,5BiGfGgWq4CMHmFp5cRIqm,DaVido,0.31,0.909,0.21100000000000002,0.0,0.0615,0.674,0.8809999999999999,248727.0,9.0,0.0,-6.2989999999999995,110.015,4.0
12,A Good Time,One Thing,2PdKTWP8NA6O9KMqOGqNBv,DaVido,0.636,0.607,0.235,0.0,0.0813,0.581,0.6509999999999999,199873.0,10.0,0.0,-4.44,201.632,4.0
13,A Good Time,Assurance,3ZJblAM95vwSKA5IUloPJh,DaVido,0.275,0.665,0.115,2.99e-06,0.0756,0.799,0.8059999999999999,249320.0,4.0,0.0,-3.2439999999999998,206.007,4.0
14,A Good Time,Blow My Mind,3MYG7lZANqw54i2Du7Y0WN,DaVido,0.129,0.52,0.0783,0.00023500000000000002,0.107,0.644,0.6,199173.0,7.0,0.0,-7.09,103.646,4.0
15,A Good Time,Company,5ZzXbHAHU5i8dzRpDPLFWg,DaVido,0.506,0.753,0.218,0.0,0.0584,0.6559999999999999,0.518,167273.0,2.0,0.0,-5.2620000000000005,99.24700000000001,4.0
16,A Good Time,Animashaun (feat. Yonda),7zOWMvYYVmAj5k1NoXNurV,DaVido,0.36200000000000004,0.7090000000000001,0.308,0.0,0.18899999999999997,0.716,0.614,220625.0,10.0,1.0,-5.471,96.179,4.0
0,Hyperspace,Hyperlife,2azr0FScS6OUPZxEds8sim,Beck,0.977,0.23800000000000002,0.0381,0.207,0.10099999999999999,0.188,0.0393,96780.0,7.0,1.0,-12.933,76.62899999999999,5.0
1,Hyperspace,Uneventful Days,1vlkeO1XsX11gdo1tYgslg,Beck,0.44799999999999995,0.748,0.037000000000000005,0.00106,0.0995,0.602,0.213,197357.0,7.0,1.0,-8.621,119.999,4.0
2,Hyperspace,Saw Lightning,6C3yhVVZoB8Z4Sl4NpACzl,Beck,0.0473,0.6729999999999999,0.0455,0.0547,0.0716,0.887,0.858,241451.0,8.0,1.0,-6.151,120.005,4.0
3,Hyperspace,Die Waiting,4qAGr8V6mMg9itQpzcIB38,Beck,0.039,0.573,0.0373,0.0006360000000000001,0.114,0.711,0.506,244914.0,8.0,1.0,-6.6,95.978,4.0
4,Hyperspace,Chemical,7Lflb7ssXJ6hCcoMf5U1Wb,Beck,0.0402,0.546,0.0268,0.000307,0.3,0.445,0.14300000000000002,258660.0,9.0,1.0,-6.502999999999999,75.012,4.0
5,Hyperspace,See Through,3MmIBgGSpWuDTyBSShvjPF,Beck,0.565,0.657,0.308,0.00107,0.102,0.442,0.235,218875.0,0.0,1.0,-7.9270000000000005,181.979,4.0
6,Hyperspace,Hyperspace,67sNRKurw0zw1weKXhnNjv,Beck,0.486,0.442,0.0291,0.145,0.11800000000000001,0.588,0.387,165309.0,2.0,1.0,-6.818,76.98,4.0
7,Hyperspace,Stratosphere,29JzbT3CJEPlPq1uZ1cYBl,Beck,0.226,0.292,0.0316,0.00011899999999999999,0.156,0.5539999999999999,0.10800000000000001,237201.0,0.0,1.0,-7.858,127.935,4.0
8,Hyperspace,Dark Places,6H2XeNkeblEfMcA95uIhV4,Beck,0.498,0.496,0.0291,0.0039299999999999995,0.128,0.604,0.369,225968.0,9.0,0.0,-7.475,152.015,4.0
9,Hyperspace,Star,7GW5DZYFvvT3SVcdNrMwRe,Beck,0.213,0.741,0.0905,0.0134,0.113,0.507,0.17300000000000001,170763.0,7.0,1.0,-8.23,96.016,4.0
10,Hyperspace,Everlasting Nothing,08tZc6TFKaI2GczGpe3thf,Beck,0.306,0.551,0.0356,7.56e-05,0.087,0.619,0.32799999999999996,299786.0,9.0,1.0,-9.513,77.01,4.0
0,Watermelon Sugar,Watermelon Sugar,1e9oZCCiX42nJl0AcqriVo,Harry Styles,0.122,0.5479999999999999,0.0465,0.0,0.335,0.816,0.557,174000.0,0.0,1.0,-4.209,95.39,4.0
1,Watermelon Sugar,Lights Up,5aJEh9Oqdz7PRLKTpH25pB,Harry Styles,0.0392,0.575,0.032,0.0045,0.141,0.621,0.27,172213.0,10.0,0.0,-8.165,101.98700000000001,4.0
0,Songs For You,Feelings,5ImmilkfIH2kTLYnGaqOqO,Tinashe,0.13699999999999998,0.526,0.10800000000000001,2.3899999999999998e-05,0.0843,0.609,0.455,185874.0,2.0,1.0,-7.01,155.14,4.0
1,Songs For You,Life's Too Short,63Zh4dXVMr6KzH9LGg2LAK,Tinashe,0.573,0.639,0.0556,0.0,0.0878,0.555,0.47600000000000003,191045.0,0.0,1.0,-7.1,77.477,4.0
2,Songs For You,Hopscotch,2f9FpXmDVxZt7j1mh7Lc2X,Tinashe,0.098,0.9129999999999999,0.0993,0.000303,0.153,0.639,0.51,191014.0,0.0,1.0,-6.875,100.96799999999999,4.0
3,Songs For You,Stormy Weather,1TWSCQODUrBFcf1BIFad8T,Tinashe,0.11800000000000001,0.7759999999999999,0.0481,0.38299999999999995,0.158,0.48700000000000004,0.395,189787.0,10.0,1.0,-9.642000000000001,113.99799999999999,4.0
4,Songs For You,Save Room for Us,3TMZVleKFb75oUZpp86KPn,Tinashe,0.47700000000000004,0.758,0.0752,3.78e-05,0.313,0.6709999999999999,0.41600000000000004,164718.0,6.0,0.0,-4.766,112.055,4.0
5,Songs For You,Story of Us,1FoApcZiNshFHhrcA1OeIo,Tinashe,0.307,0.777,0.037000000000000005,1.74e-05,0.28300000000000003,0.621,0.212,165289.0,6.0,0.0,-6.977,144.046,4.0
6,Songs For You,Die A Little Bit,5NzCr1uxJEgmZeK2KoVZrR,Tinashe,0.205,0.922,0.43200000000000005,3.05e-06,0.37,0.563,0.25,165411.0,1.0,1.0,-6.8629999999999995,116.095,4.0
7,Songs For You,Perfect Crime,0LVMeyxadRuo0mSyxzmaha,Tinashe,0.457,0.7929999999999999,0.135,0.000122,0.171,0.6509999999999999,0.5539999999999999,176426.0,1.0,0.0,-6.007999999999999,106.04299999999999,4.0
8,Songs For You,Cash Race,5pFoiasS8Eac69lnJApqr1,Tinashe,0.0151,0.667,0.0627,5.48e-06,0.126,0.6940000000000001,0.52,274050.0,2.0,1.0,-5.805,156.999,4.0
9,Songs For You,Link Up,0qCLPgY9yoRdDrwoF73Hnq,Tinashe,0.0453,0.861,0.0914,0.00475,0.10099999999999999,0.5539999999999999,0.7490000000000001,208330.0,8.0,1.0,-7.279,82.49600000000001,1.0
10,Songs For You,Touch & Go,0MoGkelRvi3gxZy6kuYHLq,Tinashe,0.43799999999999994,0.665,0.0462,9.800000000000001e-06,0.10400000000000001,0.506,0.21600000000000003,255455.0,8.0,0.0,-10.872,132.032,4.0
