Title,Artist,Lyrics
Yeah!,Usher,"

[Produced by Lil Jon]

[Intro: Usher & Lil Jon]
Peace up, A-Town down
Yeah! Okay
Lil Jon
Yeah, yeah, yeah, yeah, yeah, yeah!
Yeah, yeah, yeah, yeah, yeah, yeah!
Let's go!

[Verse 1: Usher & Lil Jon]
I was up in the club with my homies, trying to get a lil V-I
Keep it down on the low key
You should know how it feels (hey!)
I seen shorty, she was checking up on me
From the game she was spitting in my ear
You would think that she know me
I decided to chill (okay!)
Conversation got heavy
She had me feeling like she's ready to blow (watch out!)
Ohh! (watch out)
She's saying, come get me
So I got up and followed her to the floor
She said, baby let's go
When I told her (let's go!) I said

[Chorus: Usher & Lil Jon]
(Yeah!) Yeah!
Shorty got down low said, come and get me
(Yeah!) Yeah!
I got so caught up, I forgot she told me
(Yeah!) Yeah!
Her and my girl, they used to be the best of homies
(Yeah!) Yeah!
Next thing I knew, she was all up on me screaming
Yeah (yeah!) yeah (yeah!) yeah, yeah!
Yeah (yeah!) yeah (yeah!) yeah, yeah!

[Verse 2: Usher & Lil Jon]
She's all up in my head now, got me thinking
That it might be a good idea to take her with me
Cause she's ready to leave, ready to leave now (let's go!)
And I got to keep it real now
Cause on a one to ten, she's a certified twenty
But that just ain't me (hey!)
Cause I don't know, if I take that chance
Just where's it gonna lead
But what I do know is the way she dance
Make shorty alright with me
The way she get low
I'm like, yeah, just work that out for me
She asks for one more dance, and I'm like, yeah
How the hell am I supposed to leave
(Let's go, bring the beat back!) And I say

[Chorus: Usher & Lil Jon]
(Yeah!) Yeah!
Shorty got down low said, come and get me
(Yeah!) Yeah!
I got so caught up, I forgot she told me
(Yeah!) Yeah!
Her and my girl, they used to be the best of homies
(Yeah!) Yeah!
Next thing I knew, she was all up on me screaming
Yeah (yeah!) yeah (yeah!) yeah, yeah!
Yeah (yeah!) yeah (yeah!) yeah, yeah!

[Verse 3: Ludacris & Lil Jon]
Watch out, my outfit's ridiculous
In the club looking so conspicuous
And roar, these women all on the prowl
If you hold the head steady, I'ma milk the cow (yeah!)
And forget about game, I'ma spit the truth (what?)
I won't stop till I get 'em in their birthday suit (yeah!)
So gimme the rhythm and it'll be off with their clothes
Then bend over to the front and touch your toes
I left the Jag and I took the Rolls
If they ain't cutting, then I put em on foot patrol (let's go!)
How you like me now?
When my pinky's valued over three hundred thousand
Let's drink, you the one to please (yeah!)
Ludacris fill cups like double D's (yeah!)
Me and Ursh' once more, and we leaves 'em dead
We want a lady in the street but a freak in the bed that say

[Chorus: Usher & Lil Jon]
(Yeah!) Yeah!
Shorty got down low said, come and get me
(Yeah!) Yeah!
I got so caught up, I forgot she told me
(Yeah!) Yeah!
Her and my girl, they used to be the best of homies
(Yeah!) Yeah!
Next thing I knew, she was all up on me screaming
Yeah (yeah!) yeah (yeah!) yeah, yeah!
Yeah (yeah!) yeah (yeah!) yeah, yeah!

[Outro: Ludacris & Lil Jon]
Take that and rewind it back
Lil Jon got the beat that make your booty go (clap)
Take that, rewind it back
Ursher got the voice make your booty go (clap)
Take that, rewind it back
Ludacris got the flow to make your booty go (clap)
Take that, rewind it back
Lil Jon got the beat that make your booty go (clap)

[Video Outro: Lil Jon]
Let me see you do the A-town stomp!
Do the A-town stomp!
Now do the muscle, do the muscle!
Do the muscle, do the muscle!
A thunder clap, hey! A thunder clap, hey!
A thunder clap, hey! A thunder clap, hey!
Rock a way, rock a way, rock a way, rock a way and cut!

"
Right Where You Want Me - Radio Edit Version,Jesse McCartney,"

[Verse:]
Girl there's something about me that you outta know
I've never felt the need to lose control
Always held on back and played it slow
But not this time baby don't be gentle
I can handle anything

[Chorus:]
Baby take me on a journey
I've been thinking lately
I could use a little time alone with you
Crazy let's do something maybe
Please don't take your time
You got me right were you want me
Whooa
Right where you want me

[Verse 2:]
Girl I'm gonna let you have your way with me
When you move like that it's hard to breathe
I never thought that it could be like this but I was wrong
Baby don't be gentle I can handle anything

[Chorus:]
Baby, take me on a journey
I've been thinking lately
I could use a little time alone with you
Crazy let's do something maybe
Please don't take your time
You got me right where you want me

[Bridge:]
Can't explain it how you swept me off my feet unexpectedly
In slow motion my imagination's running trying to keep my body still ooh
I can hardly stand the thrill, yeah!!
Baby don't be gentle I can handle anything

[Chorus:]
Baby, take me on a journey
I've been thinking lately I could use a little time alone with you
Crazy let's do something maybe
Please don't take your time
You got me right where you want me
Baby take me on a journey
I've been thinking lately
I could use a little time alone with you
Crazy let's do something maybe
Please don't take your time
You got me
Whooa
You got me right where you want me

"
Year 3000,Jonas Brothers,"

[Verse 1: Nick Jonas & Joe Jonas]
One day, when I came home at lunchtime
I heard a funny noise
Went out to the backyard to find out if it was
One of those rowdy boys
Stood there with my neighbor called Peter
And a Flux Capacitor

[Pre-Chorus 1: Nick Jonas]
He told me he built a time machine
Like one in a film I've seen, yeah

[Chorus: Nick Jonas & Joe Jonas]
He said, I've been to the year 3000
Not much has changed, but they lived underwater
And your great-great-great-granddaughter
Is doing fine, doing fine

[Verse 2: Nick Jonas & Joe Jonas]
He took me to the future in the flux thing
And I saw everything
Boy bands, and another one, and another one
And another one
Girls there with round hair like Star Wars
Float above the floor

[Pre-Chorus 2: Nick Jonas]
We drove around in a time machine
Like one in a film I've seen, yeah, woo

[Chorus: Nick Jonas & Joe Jonas]
He said, I've been to the year 3000
Not much has changed, but they lived underwater
And your great-great-great-granddaughter
Is doing fine, doing fine

[Bridge: Nick Jonas & Joe Jonas]
I took a ship to the year 3000
This song had gone multi-platinum
Everybody bought our seventh album
It had outsold Kelly Clarkson
I took a ship to the year 3000
This song had gone multi-platinum
Everybody bought our seventh album
(Seventh album, seventh album)

[Pre-Chorus 1: Nick Jonas]
He told me he built a time machine
Like one in a film I've seen, yeah

[Breakdown: Nick Jonas]
I've been to the year 3000
Not much has changed, but they lived underwater
And your great-great-great-granddaughter
Is doing fine, doing fine, oh

[Chorus: Nick & Joe Jonas, and Nick Jonas]
He said, I've been to the year 3000 (Yeah, yeah)
Not much has changed, but they lived underwater (Oh, yeah)
And your great-great-great-granddaughter
Is doing fine, doing fine, doing fine

[Chorus: Nick & Joe Jonas, and Nick Jonas]
He said, I've been to the year 3000
Not much has changed, but they lived underwater (Oh, yeah)
And your great-great-great-granddaughter
Is doing fine, doing fine

[Outro: Nick Jonas]
He said, I've been to the year 3000
Not much has changed, but they lived underwater
And your great-great-great-granddaughter
Is doing fine, doing fine

"
Forever,Chris Brown,"

[Intro]
One, two, three, four
Hey, hey (Forever)
Hey, hey (Forever)

[Verse 1]
It's you and me, moving at the speed of light into eternity, yeah
Tonight is the night to join me in the middle of ecstasy
Feel the melody and the rhythm of the music
Around you, around you (Oh-oh)
I'ma take you there, I'ma take you there (Oh)
So don't be scared, I'm right here, baby
We can go anywhere, go anywhere (Yeah)
But first, it's your chance, take my hand, come with me

[Chorus]
It's like I've waited my whole life (Oh) for this one night (Oh)
It's gon' be me, you and the dance floor
'Cause we only got one night (Oh, oh)
Double your pleasure, double your fun
And dance fore-e-ever, fore-e-ever
Fore-e-ever, forever
Fore-e-ever, fore-e-ever, fore-e-ever
Forever on the dance floor

[Verse 2]
Feels like we're on another level, oh
Feels like our love's intertwined
We can be two rebels
Breaking the rules, me and you, you and I
All you gotta do is watch me (Watch me)
Look what I can do with my feet (My feet)
Baby, feel the beat inside
I'm driving, you can take the front seat (Front seat)
I just need you to trust me (Trust me)
Oh (Girl), oh (Girl), oh (Girl)
It's like I've...

[Chorus]
It's like I've waited my whole life (Oh) for this one night (One night, oh)
It's gon' be me, you and the dance floor (Dance floor)
'Cause we only got one night (Oh, oh, one night)
Double your pleasure, double your fun (Yeah)
And dance fore-e-ever, fore-e-ever
Fore-e-ever, forever
Fore-e-ever, fore-e-ever, fore-e-ever
Forever on the dance floor

[Bridge]
It's a long way down, we so high off the ground
Sending for an angel to bring me your heart
Girl, where did you come from? Got me so undone
Gaze in your eyes, got me saying, ""What a beautiful lady""
No ifs, ands or maybes
I'm releasing my heart and it's feeling amazing
There's no one else that matters, you love me
And I won't let you fall, girl (Fall, girl), let you fall, girl, oh
Oh, oh, yeah, yeah
I won't let you fall, let you fall, let you fall, oh, oh-oh
Yeah, yeah
Yeah, yeah

[Chorus]
It's like...
It's like I've waited my whole life (Oh, whole life) for this one night (One night, oh)
It's gon' be me, you and the dance floor (Me, you and the dance floor)
'Cause we only got one night (Oh, oh)
Double your pleasure, double your fun
And dance fore-e-ever, fore-e-ever
Fore-e-ever, forever
Fore-e-ever, fore-e-ever, fore-e-ever
Forever on the dance floor

[Outro]
Oh, oh, oh-oh-oh-oh-oh
Oh-oh-oh, yeah
Forever, ever, ever, ever
Forever, ever, ever

"
Your Love Is My Drug,Kesha,"

[Verse 1]
Maybe I need some rehab
Or maybe just need some sleep
I got a sick obsession
I'm seeing it in my dreams
I'm looking down every alley
I'm making those desperate calls
I'm staying up all night hoping
Hitting my head against the wall

[Pre-Chorus]
What you've got, boy, is hard to find
I think about it all the time
I'm all strung out, my heart is fried
I just can't get you off my mind

[Chorus]
Because your love, your love, your love is my drug
Your love, your love, your love
I said your love, your love, your love is my drug
Your love, your love, your love

[Verse 2]
Won't listen to any advice
Momma's telling me I should think twice
Better left to my own devices
I'm addicted, it's a crisis
My friends think I've gone crazy
My judgment's getting kinda hazy
My steeze is gonna be affected
If I keep it up like a lovesick crackhead

[Pre-Chorus]
What you've got, boy, is hard to find
I think about it all the time
I'm all strung out, my heart is fried
I just can't get you off my mind

[Chorus]
Because your love, your love, your love is my drug
Your love, your love, your love
I said your love, your love, your love is my drug
Your love, your love, your love

[Bridge]
I don't care what people say
The rush is worth the price I pay
I get so high when you're with me
But crash and crave you when you leave

[Verse 3]
Hey, so I got a question
Do you wanna have a slumber party in my basement?
Do I make your heart beat like an 808 drum?
Is my love your drug? Your drug
Huh, your drug
Huh, your drug
Is my love your drug?

[Chorus]
Because your love, your love, your love is my drug
Your love, your love, your love
I said your love, your love, your love is my drug
Your love, your love, your love
Because your love, your love, your love is my drug
Your love, your love, your love
I said your love, your love, your love is my drug
Your love, your love, your love

[Outro]
Hey
Hey, so...
Your love, your love, your love, your love is my drug
I like your beard

"
Closer,Ne-Yo,"

[Intro]
Closer
Closer
Closer
Closer

[Verse 1]
Turn the lights off in this place
And she shines just like a star
And I swear I know her face
I just don't know who you are
Turn the music up in here
I still hear her loud and clear
Like she's right there in my ear
Telling me that she wants to own me
To control me

[Pre-Hook]
Come closer
Come closer

[Hook]
And I just can't pull myself away
Under her spell I can't break
I just can't stop
I just can't stop
I just can't stop
I just can't stop
And I just can't bring myself no way
But I don't want to escape
I just can't stop
I just can't stop
I just can't stop
I just can't stop

[Verse 2]
I can feel her on my skin
I can taste her on my tongue
She's the sweetest taste of sin
The more I get the more I want
She wants to own me

[Pre-Hook]
Come closer
Come closer

[Hook]
And I just can't pull myself away
Under her spell I can't break
I just can't stop
I just can't stop
I just can't stop
I just can't stop
And I just can't bring myself no way
But I don't want to escape
I just can't stop
I just can't stop
I just can't stop
I just can't stop

[Interlude 1]
Come closer
Come closer
Come closer
Come closer

[Interlude 2]
I just can't stop, no no
I just can't stop, no no
I just can't stop, no no
I just can't stop, no no
No, no, no, no

[Hook]
And I just can't pull myself away
Under her spell I can't break
I just can't stop
I just can't stop
I just can't stop
I just can't stop
And I just can't bring myself no way
But I don't want to escape
I just can't stop
I just can't stop
I just can't stop
I just can't stop
And I just can't pull myself away
Under her spell I can't break
I just can't stop
I just can't stop
I just can't stop
I just can't stop
Come closer

"
Beep,The Pussycat Dolls,"

[Intro: Nicole Scherzinger]
Ha, ha-ha, ha-ha
Ha, ha-ha, ha
Ha-ha, ha-ha, ha-ha
Ha, ha-ha, ha

[Chours 1: will.i.am & Nicole Scherzinger]
It's funny how a man only thinks about the...
You got a real big heart, but I'm lookin at yo'...
You got real big brains, but I'm lookin at yo'...
Girl, it ain't no pain in me lookin at yo'...
I don't give a...
Keep lookin at my...
'Cause it don't mean a thang if you're lookin at my...
Heh, I'mma do my thing while you're playin wit ya...
Ha, ha-ha, ha-ha-ha...

[Verse 1: Nicole Scherzinger]
Every boy's the same since up in the seventh grade
They've been tryna get with me
Tryna - ha-ha-haaa, ha-ha-haaaa
They always got a plan to be my one and only man
Wanna hold me with their hands
Wanna - ha-ha-haaa, ha-ha-haaaa
I keep turning them down
But they always come around
Asking me to go around, that's not the way it's going down

[Pre-Chorus: Nicole Scherzinger]
'Cause they only want, only want
My - ha-ha-haaaa, ha-ha-haaaa
Only want, what they want
But, na ah-ahhhh, na, ah-ahhhh

[Chorus 1: will.i.am & Nicole Scherzinger]
It's funny how a man only thinks about the...
You got a real big heart, but I'm lookin at yo'...
You got real big brains, but I'm lookin at yo'...
Girl, it ain't no pain in me lookin at yo'...
I don't give a...
Keep lookin at my...
'Cause it don't mean a thang if you're lookin at my...
Heh, I'mma do my thing while you're playin wit ya...
Ha, ha-ha, ha-ha-ha...

[Verse 2: Nicole Scherzinger]
Do you know that no
Don't mean yes, it means no?
So just hold up, wait a minute, let me put my two cents in it
One; just be patient
Don't be rushin' like you're anxious
And two; you're just too aggressive
Tryna get your [*gasps*]

[Pre-Chorus: Nicole Scherzinger]
Do you know... that I know?
And I don't... wanna go there...
Only want, only want
My - ha-ha-haaaa, ha-ha-haaaa
Only want, what they want
But, na ah-ahhhh, na, ah-ahhhh

[Chorus: will.i.am & Carmit Bachar]
It's funny how a man only thinks about the...
You got a real big heart, but I'm lookin at yo'...
You got real big brains, but I'm lookin at yo'...
Girl, it ain't no pain in me lookin at yo'...
I don't give a...
Keep lookin at my...
'Cause it don't mean a thang if you're lookin at my...
Heh, I'mma do my thing while you're playin wit ya...
Ha, ha-ha, ha-ha-ha...

[Post-Chorus Repeated: will.i.am]
Boom-boom, boom-boom
Boom-boom-boomp...
Boom-boom, boom-boom
Boom-boom-boomp...

[Bridge: Nicole Scherzinger]
Oooh, you've got it bad, I can tell
You want it bad, but oh well
Dude, what you got for me
Is something I -
Something I don't need
Hey!

[Chorus: will.i.am & Melody Thornton]
It's funny how a man only thinks about the...
You got a real big heart, but I'm lookin at yo'...
You got real big brains, but I'm lookin at yo'...
Girl, it ain't no pain in me lookin at yo'...
I don't give a...
Keep lookin at my...
'Cause it don't mean a thang if you're lookin at my...
Heh, I'mma do my thing while you're playin wit ya...
Ha, ha-ha, ha-ha-ha...

[Chorus / Outro: will.i.am & Nicole Scherzinger]
It's funny how a man only thinks about the...
You got a real big heart, but I'm lookin at yo'...
You got real big brains, but I'm lookin at yo'...
Girl, it ain't no pain in me lookin at yo'...
I don't give a...
Keep lookin at my...
'Cause it don't mean a thang if you're lookin at my...
Heh, I'mma do my thing while you're playin wit ya...
Ha, ha-ha, ha-ha-ha...

"
Somebody To Love,Justin Bieber,"

[Verse 1]
For you I'd write a symphony
I'd tell the violin, ""It's time to sink or swim,""
Watch them play for ya
For you, I'd be, whoa oh
Running a thousand miles just to get to where you are
Step to the beat of my heart

[Pre-Chorus]
I don't need a whole lot, but for you I admit I
I'd rather give you the world or we can share mine
I know I won't be the first one giving you all this attention
Baby listen...

[Chorus]
I just need somebody to love
I don't need too much, just somebody to love
Somebody to love
I don't need nothing else, I promise, girl, I swear
I just need somebody to love
I need somebody, I need somebody
I need somebody, I need somebody

[Verse 2]
Every day I bring the sun around
I sweep away the clouds, smile for me
I would take every second, every single time
Spend it like my last dime, step to the beat of my heart

[Pre-Chorus]
I don't need a whole lot, but for you I admit I
I'd rather give you the world or we can share mine
I know I won't be the first one giving you all this attention
Baby listen...

[Chorus]
I just need somebody to love
I don't need too much, just somebody to love
Somebody to love
I don't need nothing else, I promise, girl, I swear
I just need somebody to love
I need somebody, I need somebody
I need somebody, I need somebody, somebody to love
I need somebody, I need somebody
I need somebody, I need somebody, I just need somebody to love

[Bridge]
And you can have it all
Anything you want, I can bring
Give you the finer things, yeah
But what I really want, I can't find
Cause money can't find me somebody to love
Oh oh, find me somebody to love, oh

[Chorus]
I just need somebody to love
I don't need too much, just somebody to love
Somebody to love
I don't need nothing else, I promise, girl, I swear
I just need somebody to love
I need somebody, I need somebody
I need somebody, I need somebody, somebody to love
I need somebody, I need somebody
I need somebody, I need somebody, I just need somebody to love

[Outro]
I need somebody, I need somebody, I need somebody to love
Is she out there? Is she out there?
Is she out there? Is she out there?
I just need somebody to love

"
Baby,Justin Bieber,"

[Produced by The-Dream and Tricky Stewart]

[Intro: Justin Bieber]
Oh, woah
Oh, woah
Oh, woah

[Verse 1: Justin Bieber]
You know you love me, I know you care
Just shout whenever and I’ll be there
You want my love, you want my heart
And we will never, ever, ever be apart
Are we an item? Girl, quit playing
We’re just friends, what are you saying?
Said ""There’s another,"" and looked right in my eyes
My first love broke my heart for the first time, and I was like...

[Chorus: Justin Bieber]
Baby, baby, baby oh
Like baby, baby, baby no
Like baby, baby, baby no oh
Thought you'd always be mine, mine
Baby, baby, baby oh
Like baby, baby, baby no
Like baby, baby, baby no oh
Thought you’d always be mine, mine

[Verse 2: Justin Bieber]
Oh, for you I would have done whatever
And I just can’t believe we ain't together
And I wanna play it cool, but I'm losing you
I'll buy you anything, I'll buy you any ring
And I'm in pieces, baby, fix me
And just shake me 'til you wake me from this bad dream
I'm going down, down, down, down
And I just can’t believe my first love won’t be around, and I'm like...

[Chorus: Justin Bieber]
Baby, baby, baby oh
Like baby, baby, baby no
Like baby, baby, baby no oh
Thought you’d always be mine, mine
Baby, baby, baby oh
Like baby, baby, baby no
Like baby, baby, baby no oh
Thought you’d always be mine, mine

[Verse 3: Ludacris]
(Luda)
When I was 13, I had my first love
There was nobody that compared to my baby
And nobody came between us, nor could ever come above
She had me going crazy
Oh, I was starstruck
She woke me up daily, don’t need no Starbucks
She made my heart pound, and skip a beat when I see her in the street and
At school on the playground, but I really want to see her on the weekend
She knows she's got me dazing, cause she was so amazing
And now my heart is breaking, but I just keep on saying

[Chorus: Justin Bieber]
Baby, baby, baby oh
Like baby, baby, baby no
Like baby, baby, baby no oh
Thought you’d always be mine, mine
Baby, baby, baby oh
Like baby, baby, baby no
Like baby, baby, baby no oh
Thought you’d always be mine, mine

[Outro: Justin Bieber]
I'm gone, yeah yeah yeah
Now I'm all gone, yeah yeah yeah
Now I'm all gone, yeah yeah yeah
Now I'm all gone, gone, gone, gone, I'm gone

"
Ghost Love Score,Nightwish,"

[Verse 1]
We used to swim the same moonlight waters
Oceans away from the wakeful day

[Chorus]
(My fall will...)
My fall will be for you
My love will be in you
If you be the one to cut me
I'll bleed forever

(... be for you)
My fall will be for you
My love will be in you
If you be the one to cut me
I'll bleed forever

[Verse 2]
Scent of the sea before the waking of the world
Brings me to thee, into the blue memory

[Chorus]
(My fall will...)
My fall will be for you
My love will be in you
If you be the one to cut me, I'll bleed forever

(... be for you)
My fall will be for you
My love will be in you
If you be the one to cut me, I'll bleed forever

Into the blue memory

[Verse 3]
A siren from the deep came to me
Sang my name my longing
Still I write my songs about that dream of mine
Worth everything I may ever be

[Verse 4]
The Child will be born again
That siren carried him to me
First of them true loves
Singing on the shoulders of an angel
Without care for love ‘n loss

[Bridge 1]
Bring me home or leave me be
My love in the dark heart of the night
I have lost the path before me
The one behind will lead me

Bring me home or leave me be
My love in the dark heart of the night
I have lost the path before me
The one behind will lead me

[Bridge 2]
Take me
Cure me
Kill me
Bring me home
Every way
Every day
Just another loop in the hangman’s noose

Take me, cure me, kill me, bring me home
Every way, every day
I keep on watching us sleep

Relive the old sin of Adam and Eve
Of you and me
Forgive the adoring beast

[Bridge 3]
Redeem me into childhood
Show me myself without the shell
Like the advent of May
I’ll be there when you say
Time to never hold our love

[Chorus 2]
(My fall will...)
My fall will be for you
My love will be in you
You were the one to cut me
So I’ll bleed forever

(... be for you)
My fall will be for you
My love will be in you
You were the one to cut me
So I’ll bleed forever

[Outro] (repeat until fade)
My fall will be for you
My love will be in you
You were the one to cut me
So I’ll bleed forever

"
