,Album_Name,Artist,Album_id,Album_uri,Total_Tracks,Release_Date
0,Everyday Life,Coldplay,2FeyIYDDAQqcOJKOKhvHdr,spotify:album:2FeyIYDDAQqcOJKOKhvHdr,16,2019-11-22
1,Melly vs. Melvin,YNW Melly,5xq6RMHNIBA73qld03dR6V,spotify:album:5xq6RMHNIBA73qld03dR6V,14,2019-11-22
2,Más Futuro Que Pasado,Juanes,2X45SzRfAFsxgkBxgryWfF,spotify:album:2X45SzRfAFsxgkBxgryWfF,13,2019-11-22
3,Something Real (with London On Da Track & Chris Brown),Summer Walker,3sKfMROqgj9nNxOuyPDndH,spotify:album:3sKfMROqgj9nNxOuyPDndH,1,2019-11-22
4,9,Jason Aldean,2f0DzdU6QbWtZqSlN7s1s5,spotify:album:2f0DzdU6QbWtZqSlN7s1s5,16,2019-11-22
5,A Good Time,DaVido,0s3BbZlcqsUdAD8wIYdO5n,spotify:album:0s3BbZlcqsUdAD8wIYdO5n,17,2019-11-22
6,Hyperspace,Beck,4ZUryKKDhiMXcD4fluAEhl,spotify:album:4ZUryKKDhiMXcD4fluAEhl,11,2019-11-22
7,Watermelon Sugar,Harry Styles,659e2eKbsMH0vYCs5qgFmy,spotify:album:659e2eKbsMH0vYCs5qgFmy,2,2019-11-17
8,Songs For You,Tinashe,03mqFnIf0SxlMFVDO4a3YK,spotify:album:03mqFnIf0SxlMFVDO4a3YK,15,2019-11-21
9,A Love Letter To You 4,Trippie Redd,0tKX7BLXiiRgXUKYdJzjEz,spotify:album:0tKX7BLXiiRgXUKYdJzjEz,21,2019-11-22
10,Straight to Hell,Ozzy Osbourne,621f68tD6k8azl9FuQgxJT,spotify:album:621f68tD6k8azl9FuQgxJT,1,2019-11-22
11,Then There Were Two,Mark Ronson,0Hge6ViJwQegFirPFJv3MA,spotify:album:0Hge6ViJwQegFirPFJv3MA,1,2019-11-18
12,Time Machine,Alicia Keys,6AyIocBD7P3K6vjTK6Vg0b,spotify:album:6AyIocBD7P3K6vjTK6Vg0b,1,2019-11-20
13,Fall On Me,A Great Big World,0cwzKIL9ELh2HwvMashfV5,spotify:album:0cwzKIL9ELh2HwvMashfV5,1,2019-11-22
14,Before You Go,Lewis Capaldi,0488X5veBK6t3vSmIiTDJY,spotify:album:0488X5veBK6t3vSmIiTDJY,2,2019-11-19
15,Imagination & the Misfit Kid,Labrinth,0FSsRH1jeZqKbGcHwq3UO0,spotify:album:0FSsRH1jeZqKbGcHwq3UO0,15,2019-11-22
16,Vete,Bad Bunny,3fxzSn0ObgCjLadyR53ohN,spotify:album:3fxzSn0ObgCjLadyR53ohN,1,2019-11-21
17,My Own Dance,Kesha,03nFqJg2FeAuZ1bIE91ZJ4,spotify:album:03nFqJg2FeAuZ1bIE91ZJ4,1,2019-11-21
18,Sugar Coat,Little Big Town,5RNCgI75cIswy3eJlXcHLh,spotify:album:5RNCgI75cIswy3eJlXcHLh,1,2019-11-22
