,album_name,album_uri,artist_name,artist_uri,duration_ms,pid,pos,track_name,track_uri
0,The Cookbook,spotify:album:6vV5UrXcfyQD1wu4Qo2I9K,Missy Elliott,spotify:artist:2wIVse2owClT7go1WT98tk,226863.0,0.0,0.0,Lose Control (feat. Ciara & Fat Man Scoop),spotify:track:0UaMYEvWZi0ZqiDOoHU3YI
1,The Little Mermaid: Original Broadway Cast Recording,spotify:album:3ULJeOMgroG27dpn27MDfS,Original Broadway Cast - The Little Mermaid,spotify:artist:3TymzPhJTMyupk7P5xkahM,154506.0,0.0,0.0,Fathoms Below - Broadway Cast Recording,spotify:track:5IbCV9Icebx8rR6wAp5hhP
2,ABC,spotify:album:4GuzZh2dtsOjG3sMkx52eR,The Jackson 5,spotify:artist:2iE18Oxc8YSumAU232n4rW,174866.0,0.0,0.0,ABC,spotify:track:6cb0HzFQPN4BGADOmSzPCw
3,What Is Love 2016,spotify:album:4N1e8k2o2NN932Y8xgZV1p,Lost Frequencies,spotify:artist:7f5Zgnp2spUuuzKplmRkt7,209882.0,0.0,0.0,What Is Love 2016 - Mike Mago Remix,spotify:track:2vCtiBvJJZfz773yTfAxPP
4,Mr. Face,spotify:album:5bXUYhd6yvmry49a8WpEqS,Ty Segall,spotify:artist:58XGUNsRNu3cVOIOYk5chx,186176.0,0.0,0.0,Circles,spotify:track:53yXbISmPFewWiFP2kgal8
5,Blood Bank,spotify:album:04MsTCBM8AneW8jxZVHKcA,Bon Iver,spotify:artist:4LEiUm1SRbFMgfqnQTwUbQ,157040.0,0.0,0.0,Beach Baby,spotify:track:2FZuUP0YFFISIgePvqCj93
6,This Is What It’s Like,spotify:album:7IbXPN9iNFIBMutzPj6NaZ,Glades,spotify:artist:14rP13jdQNgQvuPA2AkBgm,184425.0,0.0,0.0,Drive // Stripped,spotify:track:7EpsAOwJU61tXSaT2xCk7z
7,Bare,spotify:album:2kIoMj5Ht14l2PnNRa2abC,WILDES,spotify:artist:0ypTT9UqAU5sZpPo5JZmjR,242060.0,0.0,0.0,Bare,spotify:track:3uvsVUrAaGQJCTEUR1S3Sx
8,Thinking Out Loud,spotify:album:4fnNeUsTKQli86EWazLiVZ,Ed Sheeran,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V,182185.0,0.0,0.0,Thinking Out Loud - Alex Adair Remix,spotify:track:1cWepLwVVDgyqxso6G4TQU
9,The Moon Rang Like a Bell,spotify:album:2DZNrOJ9LheAWZFo3qhIe3,Hundred Waters,spotify:artist:108ugtkRFQzP9nGgNiyERO,285327.0,0.0,0.0,Xtalk - Kodak to Graph Remix,spotify:track:5Jk0vfT81ltt2rYyrWDzZ5
10,Ghost Stories,spotify:album:2G4AUqfwxcV1UdQjm2ouYr,Coldplay,spotify:artist:4gzpq5DPGxSnKTe4SA8HAU,285014.0,0.0,0.0,Magic,spotify:track:23khhseCLQqVMCIT1WMAns
11,Heavier Things,spotify:album:6WivmTXugLZLmAWnZhlz7g,John Mayer,spotify:artist:0hEurMDQu99nJRq8pTxO14,237906.0,0.0,0.0,Daughters,spotify:track:5FPnjikbwlDMULCCCa6ZCJ
12,"Or Nah (feat. The Weeknd, Wiz Khalifa and DJ Mustard)",spotify:album:3SHx7bBQFI4J8QRr6D5cOK,Ty Dolla $ign,spotify:artist:7c0XG5cIJTrrAgEC3ULPiq,242983.0,0.0,0.0,"Or Nah (feat. The Weeknd, Wiz Khalifa and DJ Mustard) - Remix",spotify:track:7t2bFihaDvhIrd2gn2CWJO
13,Confrontation,spotify:album:1sXOM4wTy7TbTPdPz68YeF,Bob Marley & The Wailers,spotify:artist:2QsynagSdAqZj3U9HgDzjD,257440.0,0.0,0.0,Buffalo Soldier,spotify:track:1QQfbfMfyzNZhT5fg3RpuS
14,Hamilton,spotify:album:1kCHru7uhxBUdzkm4gzRQc,Thayne Jasperson,spotify:artist:4lSm9vkdpKSs1O8nKflRaB,112742.0,0.0,0.0,Farmer Refuted,spotify:track:2G9lekfCh83S0lt2yfffBz
15,Phil Wickham,spotify:album:12upYmvmRa3pmUBel7LiRr,Phil Wickham,spotify:artist:5d1JhBfyb58upMXCZOdbQu,281880.0,0.0,0.0,Always Forever,spotify:track:2rb4cO7RczQFSvpjTJ4C2P
16,Jazz,spotify:album:2yuTRGIackbcReLUXOYBqU,Queen,spotify:artist:1dfeR4HaWDbWqFHLkxsg1d,209413.0,0.0,0.0,Don't Stop Me Now - Remastered,spotify:track:5T8EDUDqKcs6OSOwEsfqG7
17,"Members Only, Vol. 3",spotify:album:7ifkO4gppMVf0HNy7JJDHn,XXXTENTACION,spotify:artist:15UsOTVnJzReFVN1VCnxy4,203493.0,0.0,0.0,Off the Wall!,spotify:track:0GRmh4ZlobfhvDE9L4CbOs
18,Every Time I Touch You,spotify:album:7jtgvowVpIK9UNRPfHljp0,Metro Station,spotify:artist:7vXwfZyDp3spzIVNXDaTPN,185288.0,0.0,0.0,Every Time I Touch You,spotify:track:5gi7MTQ3rTkYVClOoztZwt
19,Culture,spotify:album:2AvupjUeMnSffKEV05x222,Migos,spotify:artist:6oMuImdp5ZcFhWP0ESe6mG,343150.0,0.0,0.0,Bad and Boujee (feat. Lil Uzi Vert),spotify:track:4Km5HrUvYTaSUfiSGPJeQR
20,The Piano Guys,spotify:album:1gIuyEXICtt24CEKrYSOw8,The Piano Guys,spotify:artist:0jW6R8CVyVohuUJVcuweDI,275973.0,0.0,0.0,A Thousand Years,spotify:track:4eYaDRhiL5iesFp2EuoODr
21,I Am...World Tour,spotify:album:5O7PYNgE3VLWrvB80fIaDZ,Beyoncé,spotify:artist:6vWDO969PvNqNYHIOW5v0m,135866.0,0.0,0.0,Upgrade U - Live,spotify:track:3AEhT2SoXzXpP2UpeyAyb5
22,R.,spotify:album:4yRYsQZfQpzkoVWH2XCX66,R. Kelly,spotify:artist:2mxe0TnaNL039ysAj51xPQ,320666.0,0.0,0.0,I Believe I Can Fly,spotify:track:2RzJwBCXsS1VnjDm2jKKAa
23,In A Tidal Wave Of Mystery,spotify:album:6mwV0Vhmxl5tXoopQWkNSm,Capital Cities,spotify:artist:4gwpcMTbLWtBUlOijbVpuu,326733.0,0.0,0.0,Safe And Sound - Cash Cash Remix,spotify:track:2eUSJKrUprpAQ83mBuQl2s
